index,match_score,vertex_diff,vertex_score,aspect_diff,template_score,composite_score
0,0.021595169647241397,14,0.7,0.5621693121693121,0.6865677237510681,0.5749876583797382
1,0.17524522160229483,14,0.7,0.4907407407407407,0.6865677237510681,0.5950033830564632
2,0.28232649035191915,12,0.6,0.6981481481481482,0.6865677237510681,0.5825307479174993
3,0.3815336826636857,16,0.8,0.0092592592592593,0.6865677237510681,0.6290388530465192
4,0.4673728200767091,10,0.5,2.0092592592592595,0.6865677237510681,0.7512066805291239
5,0.3815336826010636,14,0.7,0.34259259259259256,0.6865677237510681,0.6140388530339947
6,0.32322764887979627,5,0.25,1.4092592592592592,0.6865677237510681,0.46987764628974127
7,0.033916229601144376,4,0.2,1.0092592592592593,0.6865677237510681,0.3195153624340109
8,0.2371663619724209,13,0.65,1.0092592592592593,0.6865677237510681,0.6526653889082663
9,1.6139376467773048,12,0.6,2.8842592592592595,0.6865677237510681,1.1767696458692432
10,0.3598867690697296,15,0.75,0.0092592592592593,0.6865677237510681,0.592209470327728
11,4.545640717697256,10,0.5,4.342592592592593,0.6865677237510681,1.9168602600532334
12,2.136666574144823,8,0.4,0.6574074074074074,0.6865677237510681,0.8172876535649689
13,6.005983267707564,14,0.7,4.70925925925926,0.6865677237510681,2.3939287700552954
14,3.608588361488012,14,0.7,5.609259259259259,0.6865677237510681,2.0494497888113847
15,0.021595169647241397,14,0.7,0.5621693121693121,0.6865677237510681,0.5749876583797382
16,4.5666680878558115,10,0.5,5.0092592592592595,0.6865677237510681,2.0210657340849445
17,4.562493160753883,6,0.3,3.4378306878306883,0.6865677237510681,1.6545164629502733
18,0.8647761204984648,15,0.75,3.0092592592592595,0.6865677237510681,1.1431873406134752
19,0.13573554069373595,17,0.85,0.0092592592592593,0.6865677237510681,0.6123792246525293
20,0.02896929932393033,14,0.7,0.0943656422379826,0.6865677237510681,0.5062919338253766
21,0.13573554122694564,17,0.85,0.0092592592592593,0.6865677237510681,0.6123792247591712
22,0.7342967346140339,6,0.3,0.6863929146537842,0.6865677237510681,0.4761615117457676
