comment,Index,Area,Perimeter,Approx_Vertices,BoundingBox_X,BoundingBox_Y,BoundingBox_W,BoundingBox_H,Aspect_Ratio,Centroid_X,Centroid_Y,Is_Convex,ConvexHull_Points
shape,0,2938.5,350.6345569,8,0,0,59,115,0.51,29,56,0,15
bounding box around shape,1,6612,344,4,0,0,59,115,0.51,29,57,1,4
