Index,Area,Perimeter,Approx_Vertices,BoundingBox_X,BoundingBox_Y,BoundingBox_W,BoundingBox_H,Aspect_Ratio,Centroid_X,Centroid_Y,Is_Convex,ConvexHull_Points
0,65.5,38.38477599620819,20,113,851,11,10,1.1,117,855,0,12
1,146.0,97.396968126297,18,1102,845,20,20,1.0,1111,854,0,12
2,134.5,103.63960933685303,19,87,845,20,20,1.0,96,854,0,13
3,223.5,144.81118190288544,16,22,840,27,25,1.08,34,853,0,19
4,254.5,177.78174424171448,18,1151,839,27,27,1.0,1163,852,0,19
5,83.5,59.35533833503723,15,1061,838,17,14,1.21,1068,844,0,10
6,143.5,65.69848418235779,16,234,836,17,18,0.94,241,843,0,13
7,589.0,250.10764491558075,17,1139,820,52,46,1.13,1165,838,0,21
8,592.5,250.69343149662018,17,10,820,52,46,1.13,36,838,0,25
9,598.5,207.9238793849945,18,1081,817,41,48,0.85,1102,841,0,17
10,600.0,207.33809304237366,15,87,817,41,48,0.85,106,841,0,16
11,54.0,45.79898953437805,18,1063,814,16,10,1.6,1071,817,0,10
12,148.0,59.11269795894623,15,1178,792,16,16,1.0,1186,799,0,13
13,144.5,60.52691149711609,16,50,792,16,16,1.0,58,798,0,14
14,127.0,50.76955199241638,15,13,774,16,18,0.89,20,782,0,12
15,81.0,57.94112479686737,17,184,706,23,13,1.77,195,711,0,11
16,81.5,65.69848430156708,15,215,692,26,14,1.86,225,696,0,9
17,94.0,81.59797883033752,15,844,687,17,22,0.77,850,694,0,12
18,1370.5,300.3502860069275,18,999,660,57,44,1.3,1029,682,0,19
19,124.0,50.62741661071777,15,540,640,19,11,1.73,549,645,0,14
20,216.5,59.21320307254791,16,526,633,16,19,0.84,533,641,0,13
21,161.0,111.05382215976715,17,1022,630,23,20,1.15,1031,639,0,13
22,8.5,32.041630148887634,20,678,627,11,6,1.83,682,629,0,8
23,33.5,32.38477575778961,15,923,625,13,8,1.62,928,627,0,9
24,468.5,264.9777022600174,16,940,615,62,42,1.48,972,636,0,14
25,148.5,103.982754945755,20,454,606,27,19,1.42,466,614,0,12
26,144.0,64.7695517539978,16,987,600,19,17,1.12,996,607,0,14
27,347.0,89.25483298301697,16,984,597,30,21,1.43,996,606,0,14
28,3740.5,760.8843369483948,18,375,591,120,77,1.56,443,627,0,25
29,507.0,135.6812390089035,15,262,582,33,44,0.75,278,602,0,11
30,98.0,53.11269748210907,16,1003,577,17,16,1.06,1009,583,0,12
31,212.5,101.98275470733643,20,208,571,25,30,0.83,220,586,0,13
32,74.0,55.94112479686737,18,194,571,19,13,1.46,205,577,0,8
33,2973.5,1155.1585022211075,23,775,569,171,118,1.45,848,631,0,22
34,220.0,159.39696848392487,16,981,568,39,33,1.18,995,576,0,13
35,402.0,232.50966620445251,15,695,567,45,41,1.1,714,582,0,16
36,293.5,113.1543276309967,19,628,558,33,33,1.0,646,574,0,15
37,65.5,36.041629910469055,16,266,559,13,10,1.3,272,563,0,13
38,1077.5,201.72286891937256,15,612,551,56,49,1.14,642,572,0,20
39,36.0,35.79898953437805,19,760,548,14,9,1.56,766,551,0,9
40,134.5,86.32590091228485,18,713,545,21,19,1.11,721,555,0,13
41,71.5,90.32590067386627,16,504,535,17,19,0.89,510,541,0,12
42,133.0,87.25483286380768,17,971,525,19,17,1.12,979,533,0,13
43,50.0,37.79898941516876,19,781,509,13,11,1.18,786,514,0,10
44,609.5,320.1492751836777,19,169,497,50,63,0.79,196,524,0,12
45,4089.0,1330.9646326303482,18,231,494,120,171,0.7,290,576,0,25
46,30.0,30.97056245803833,15,222,492,9,10,0.9,226,497,0,6
47,4965.0,1713.4154238700867,22,576,488,192,154,1.25,652,549,0,21
48,31.0,31.798989415168762,15,158,484,12,8,1.5,162,487,0,8
49,1346.5,545.0853478908539,22,880,456,73,94,0.78,920,521,0,17
50,3.5,21.55634891986847,15,581,453,5,7,0.71,583,457,0,7
51,52.5,37.21320307254791,20,641,449,12,9,1.33,647,453,0,7
52,53.0,59.5979790687561,19,614,448,13,15,0.87,618,455,0,8
53,348.5,217.43859910964966,15,211,445,42,45,0.93,236,472,0,15
54,275.5,97.98275578022003,16,1167,428,22,31,0.71,1178,443,0,11
