Index,Area,Perimeter,Approx_Vertices,BoundingBox_X,BoundingBox_Y,BoundingBox_W,BoundingBox_H,Aspect_Ratio,Centroid_X,Centroid_Y,Is_Convex,ConvexHull_Points
55,275.5,97.98275589942932,16,39,428,22,31,0.71,49,443,0,11
56,93.0,57.94112491607666,16,682,423,20,14,1.43,691,429,0,10
57,36.0,55.5979790687561,22,561,423,13,16,0.81,569,430,0,10
58,107.0,48.28427052497864,15,419,409,16,15,1.07,427,416,0,11
59,128.5,62.183765292167664,15,531,399,18,23,0.78,539,408,0,12
60,31.5,31.213203072547913,16,598,396,10,9,1.11,602,399,0,8
61,1061.0,497.58787298202515,17,131,385,74,77,0.96,164,418,0,16
62,178.5,65.35533809661865,15,42,382,19,20,0.95,51,391,0,14
63,193.5,177.23758816719055,21,811,379,45,24,1.88,831,388,0,15
64,77.0,35.79898941516876,15,450,374,11,13,0.85,455,380,0,11
65,4.0,21.313708305358887,16,616,369,5,7,0.71,617,372,0,6
66,459.5,138.95331740379333,15,146,364,36,32,1.12,157,381,0,17
67,18.5,31.213203072547913,16,697,363,10,9,1.11,700,366,0,6
68,42.5,40.870057344436646,18,709,352,15,9,1.67,715,355,0,7
69,124.0,61.94112479686737,16,651,352,23,15,1.53,661,358,0,13
70,149.5,77.8406195640564,19,617,350,21,18,1.17,626,357,0,12
71,69.5,59.69848430156708,17,324,346,15,15,1.0,331,354,0,6
72,66.0,51.11269795894623,15,640,338,16,18,0.89,647,346,0,10
73,38.5,27.899494767189026,15,222,336,9,9,1.0,226,339,0,8
74,2785.0,1324.538226723671,21,85,336,159,153,1.04,166,427,0,14
75,79.0,68.7695517539978,19,383,324,18,21,0.86,390,333,0,11
76,113.0,65.94112479686737,19,286,312,16,22,0.73,292,320,0,12
77,1258.5,625.2274829149246,21,442,311,82,80,1.02,481,343,0,13
78,4.5,24.727921843528748,18,495,297,10,5,2.0,499,298,0,5
79,159.0,79.25483286380768,15,788,291,23,20,1.15,797,298,0,12
80,1014.5,513.9726496934891,23,329,287,113,84,1.35,390,324,0,13
81,133.5,70.52691125869751,16,549,286,16,24,0.67,556,299,0,10
82,18.5,26.727921843528748,16,195,281,11,7,1.57,200,284,0,8
83,34.5,27.55634891986847,15,490,277,9,9,1.0,493,280,0,8
84,7074.5,2613.0247156620026,18,135,271,285,190,1.5,265,365,0,17
85,274.5,153.43859803676605,15,1019,262,48,28,1.71,1044,274,0,13
86,234.5,141.15432786941528,17,94,249,36,27,1.33,110,261,0,10
87,1.0,20.97056245803833,15,900,226,7,4,1.75,905,226,0,6
88,22.0,24.97056245803833,18,168,224,6,9,0.67,170,228,0,9
89,131.0,72.91168797016144,16,663,221,22,22,1.0,675,232,0,10
90,3.0,24.97056233882904,17,528,215,7,9,0.78,530,221,0,5
91,35.0,42.28427064418793,20,128,213,11,15,0.73,133,219,0,10
92,74.5,55.69848430156708,16,182,207,16,16,1.0,189,216,0,8
93,31.5,31.55634891986847,15,142,207,14,7,2.0,148,209,0,9
94,67.0,38.62741661071777,18,222,204,15,9,1.67,229,208,0,12
95,21.0,37.455843687057495,25,122,201,13,7,1.86,127,203,0,7
96,2.5,35.69848430156708,22,867,198,10,5,2.0,870,201,0,6
97,30.0,47.94112479686737,19,498,149,13,16,0.81,504,156,0,8
98,17.0,34.62741661071777,21,218,115,10,11,0.91,222,119,0,9
99,178.0,65.5979790687561,15,1170,89,19,21,0.9,1179,99,0,13
100,124.5,51.35533845424652,15,1141,89,16,18,0.89,1148,97,0,11
101,11304.5,4253.940584659576,20,462,88,297,437,0.68,603,248,0,40
102,148.5,59.35533845424652,19,1178,72,17,16,1.06,1186,80,0,12
103,146.0,57.94112455844879,16,50,72,16,16,1.0,58,80,0,12
104,78.0,33.79898953437805,16,341,52,11,12,0.92,345,57,0,15
105,77.0,41.455843687057495,15,803,48,12,16,0.75,808,56,0,12
106,74.5,40.041630148887634,15,382,48,11,16,0.69,387,56,0,11
107,157.5,81.01219248771667,17,783,26,26,17,1.53,799,35,0,7
108,162.5,81.01219260692596,17,387,26,26,17,1.53,395,35,0,8
109,37.0,31.798989295959473,16,961,17,14,8,1.75,967,20,0,10
110,106.5,39.21320283412933,18,824,15,15,11,1.36,831,20,0,13
111,577.0,230.33303928375244,20,1144,14,43,43,1.0,1165,34,0,8
112,576.0,230.3330397605896,20,15,14,43,43,1.0,36,34,0,8
113,143.5,60.52691173553467,18,956,12,23,13,1.77,966,18,0,13
114,109.0,80.76955187320709,15,218,12,22,13,1.69,228,18,0,13
115,89.0,38.97056233882904,18,931,11,12,12,1.0,936,16,0,12
116,228.5,87.35533857345581,16,736,10,22,16,1.38,746,18,0,13
117,91.0,39.79898953437805,19,253,11,12,12,1.0,258,16,0,11
118,2167.0,172.85281372070312,15,1139,9,53,53,1.0,1164,34,0,24
119,73.0,36.62741661071777,15,336,7,12,13,0.92,340,12,0,9
