Index,Area,Perimeter,Approx_Vertices,BoundingBox_X,BoundingBox_Y,BoundingBox_W,BoundingBox_H,Aspect_Ratio,Centroid_X,Centroid_Y,Is_Convex,ConvexHull_Points
0,6147.0,691.8519471883774,20,179,401,137,137,1.0,247,468,0,9
1,8.5,33.21320307254791,19,214,395,14,9,1.56,222,398,0,6
2,24339.0,789.3523738384247,17,144,362,186,189,0.98,236,467,0,41
3,129.5,72.18376529216766,16,108,117,15,16,0.94,114,123,0,13
4,89.5,36.38477599620819,16,143,110,11,13,0.85,148,115,0,15
5,35.5,42.3847758769989,20,231,95,10,12,0.83,236,101,0,8
6,128.0,72.7695517539978,16,69,88,15,17,0.88,75,95,0,15
7,105.5,126.81118190288544,15,256,82,26,23,1.13,268,93,0,12
8,49.5,62.041630029678345,15,281,80,13,15,0.87,286,86,0,11
9,76.0,81.11269783973694,18,106,79,15,16,0.94,112,86,0,12
10,118.5,62.041630148887634,16,313,75,13,17,0.76,319,81,0,14
11,134.0,73.94112491607666,16,130,73,16,17,0.94,137,82,0,14
12,72.0,51.455843448638916,17,228,67,11,12,0.92,232,71,0,10
13,131.0,69.94112479686737,15,156,67,15,16,0.94,162,73,0,14
14,40.0,56.97056245803833,18,257,60,11,12,0.92,262,65,0,9
15,42.0,55.79898953437805,17,283,53,13,12,1.08,289,59,0,12
16,69.0,49.79898953437805,16,302,49,11,11,1.0,306,53,0,9
